T,D,L,count,quality,cost,model_name
T3,D9,L2,0.3333333333333333,0.31,0.00042614,gpt-oss-120b
T3,D9,L3,0.0,0.0,0.0,gpt-oss-120b
T3,D10,L1,0.0,0.0,0.0,gpt-oss-120b
T3,D10,L2,0.0,0.0,0.0,gpt-oss-120b
T3,D10,L3,0.0,0.0,0.0,gpt-oss-120b
T4,D1,L1,0.0,0.0,0.0,gpt-oss-120b
T4,D1,L2,0.0,0.0,0.0,gpt-oss-120b
T4,D1,L3,0.0,0.0,0.0,gpt-oss-120b
T4,D2,L1,0.0,0.0,0.0,gpt-oss-120b
T4,D2,L2,0.0,0.0,0.0,gpt-oss-120b
T4,D2,L3,0.0,0.0,0.0,gpt-oss-120b
T4,D3,L1,0.0,0.0,0.0,gpt-oss-120b
T4,D3,L2,0.0,0.0,0.0,gpt-oss-120b
T4,D3,L3,0.0,0.0,0.0,gpt-oss-120b
T4,D4,L1,0.0,0.0,0.0,gpt-oss-120b
T4,D4,L2,0.0,0.0,0.0,gpt-oss-120b
T4,D4,L3,0.0,0.0,0.0,gpt-oss-120b
T4,D5,L1,0.0,0.0,0.0,gpt-oss-120b
T4,D5,L2,0.0,0.0,0.0,gpt-oss-120b
T4,D5,L3,0.0,0.0,0.0,gpt-oss-120b
T4,D6,L1,0.0,0.0,0.0,gpt-oss-120b
T4,D6,L2,0.0,0.0,0.0,gpt-oss-120b
T4,D6,L3,0.0,0.0,0.0,gpt-oss-120b
T4,D7,L1,0.0,0.0,0.0,gpt-oss-120b
T4,D7,L2,0.0,0.0,0.0,gpt-oss-120b
T4,D7,L3,0.0,0.0,0.0,gpt-oss-120b
T4,D8,L1,0.0,0.0,0.0,gpt-oss-120b
T4,D8,L2,0.0,0.0,0.0,gpt-oss-120b
T4,D8,L3,0.0,0.0,0.0,gpt-oss-120b
T4,D9,L1,0.0,0.0,0.0,gpt-oss-120b
T4,D9,L2,0.0,0.0,0.0,gpt-oss-120b
T4,D9,L3,0.0,0.0,0.0,gpt-oss-120b
T4,D10,L1,0.0,0.0,0.0,gpt-oss-120b
T4,D10,L2,0.0,0.0,0.0,gpt-oss-120b
T4,D10,L3,0.0,0.0,0.0,gpt-oss-120b
T5,D1,L1,0.0,0.0,0.0,gpt-oss-120b
T5,D1,L2,0.0,0.0,0.0,gpt-oss-120b
T5,D1,L3,0.0,0.0,0.0,gpt-oss-120b
T5,D2,L1,0.0,0.0,0.0,gpt-oss-120b
T5,D2,L2,0.0,0.0,0.0,gpt-oss-120b
T5,D2,L3,0.0,0.0,0.0,gpt-oss-120b
T5,D3,L1,0.0,0.0,0.0,gpt-oss-120b
T5,D3,L2,0.0,0.0,0.0,gpt-oss-120b
T5,D3,L3,0.0,0.0,0.0,gpt-oss-120b
T5,D4,L1,0.0,0.0,0.0,gpt-oss-120b
T5,D4,L2,0.0,0.0,0.0,gpt-oss-120b
T5,D4,L3,0.0,0.0,0.0,gpt-oss-120b
T5,D5,L1,1.0,0.71,0.00041695500000000005,gpt-oss-120b
T5,D5,L2,0.0,0.0,0.0,gpt-oss-120b
T5,D5,L3,0.0,0.0,0.0,gpt-oss-120b
T5,D6,L1,0.0,0.0,0.0,gpt-oss-120b
T5,D6,L2,0.0,0.0,0.0,gpt-oss-120b
T5,D6,L3,0.0,0.0,0.0,gpt-oss-120b
T5,D7,L1,0.0,0.0,0.0,gpt-oss-120b
T5,D7,L2,0.0,0.0,0.0,gpt-oss-120b
T5,D7,L3,0.0,0.0,0.0,gpt-oss-120b
T5,D8,L1,0.0,0.0,0.0,gpt-oss-120b
T5,D8,L2,0.0,0.0,0.0,gpt-oss-120b
T5,D8,L3,0.0,0.0,0.0,gpt-oss-120b
T5,D9,L1,0.0,0.0,0.0,gpt-oss-120b
T5,D9,L2,0.0,0.0,0.0,gpt-oss-120b
T5,D9,L3,0.0,0.0,0.0,gpt-oss-120b
T5,D10,L1,0.0,0.0,0.0,gpt-oss-120b
T5,D10,L2,0.0,0.0,0.0,gpt-oss-120b
T5,D10,L3,0.0,0.0,0.0,gpt-oss-120b
T6,D1,L1,0.0,0.0,0.0,gpt-oss-120b
T6,D1,L2,0.0,0.0,0.0,gpt-oss-120b
T6,D1,L3,0.0,0.0,0.0,gpt-oss-120b
T6,D2,L1,0.0,0.0,0.0,gpt-oss-120b
T6,D2,L2,0.0,0.0,0.0,gpt-oss-120b
T6,D2,L3,0.0,0.0,0.0,gpt-oss-120b
T6,D3,L1,0.0,0.0,0.0,gpt-oss-120b
T6,D3,L2,0.0,0.0,0.0,gpt-oss-120b
T6,D3,L3,0.0,0.0,0.0,gpt-oss-120b
T6,D4,L1,0.0,0.0,0.0,gpt-oss-120b
T6,D4,L2,0.0,0.0,0.0,gpt-oss-120b
T6,D4,L3,0.0,0.0,0.0,gpt-oss-120b
T6,D5,L1,0.0,0.0,0.0,gpt-oss-120b
T6,D5,L2,0.0,0.0,0.0,gpt-oss-120b
